query_id,query_text,retriever,rank,chunk_id,text,score,is_relevant
q001,long method with many if statements in Python,sparse,1,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p928_c1,"EAFP Easier to ask for forgiveness than permission. This common Python coding style assumes the existence of valid keys or attributes and catches exceptions if the assumption proves false. This clean and fast style is characterized by the presence of many try and except statements. The technique contrasts with the LBYL style common to many other languages such as C. The glossary then defines LBYL: LBYL Look before you leap. This coding style explicitly tests for pre- conditions before making calls or lookups. This style contrasts with the EAFP approach and is characterized by the presence of many if statements. In a multi-threaded environment, the LBYL approach can risk introducing a race condition between “the looking” and “the leaping”. For example, the code, if key in mapping: return mapping[key] can fail if another thread removes key from mapping after the test, but before the lookup. This issue can be solved with locks or by using the EAFP approach. Given the EAFP style, it makes even more sense to know and use well else blocks in try/except statements. Now let’s address the main topic of this chapter: the powerful with statement. Context Managers and with Blocks Context manager objects exist to control a with statement, just like iterators exist to control a for statement. The with statement was designed to simplify the try/finally pattern, which guarantees that some operation is performed after a block of code,",0.09190271,
q001,long method with many if statements in Python,sparse,2,cc_knowledge_book.pdf:p141_c2,"problems upon our callers. All it takes is one missing null check to send an application spinning out of control. Did you notice the fact that there wasn’t a null check in the second line of that nested if statement? What would have happened at runtime if persistentStore were null? We would have had a NullPointerException at runtime, and either someone is catching NullPointerException at the top level or they are not. Either way it’ s bad. What exactly should you do in response to a NullPointerExceptionthrown from the depths of your appli- cation? It’ s easy to say that the problem with the code above is that it is missing a null check, but in actuality, the problem is that it has too many. If you are tempted to return null from a method, consider throwing an exception or returning a S PECIAL CASE object instead. If you are calling a null-returning method from a third-party API, consider wrapping that method with a method that either throws an exception or returns a special case object.",0.073481366,
q001,long method with many if statements in Python,sparse,3,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p950_c1,"Chapter Summary This chapter started easily enough with discussion of else blocks in for, while, and try statements. Once you get used to the peculiar meaning of the else clause in these statements, I believe else can clarify your intentions. We then covered context managers and the meaning of the with statement, quickly moving beyond its common use to automatically close opened files. We implemented a custom context manager: the LookingGlass class with the __enter__/__exit__ methods, and saw how to handle exceptions in the __exit__ method. A key point that Raymond Hettinger made in his PyCon US 2013 keynote is that with is not just for resource management, but it’s a tool for factoring out common setup and teardown code, or any pair of operations that need to be done before and after another procedure (slide 21, What Makes Python Awesome?). Finally, we reviewed functions in the contextlib standard library module. One of them, the @contextmanager decorator, makes it possible to implement a context manager using a simple generator with one yield—a leaner solution than coding a class with at least two methods. We reimplemented the LookingGlass as a looking_glass generator function, and discussed how to do exception handling when using @contextmanager. The @contextmanager decorator is an elegant and practical tool that brings together three distinctive Python features: a function decorator, a generator, and the with statement. Further Reading Chapter 8, “Compound Statements,” in The Python Language Reference says pretty much everything there is to say about else clauses in if, for, while, and try statements. Regarding Pythonic usage of try/except, with or without else, Raymond Hettinger has a brilliant answer to the",0.063036546,
q001,long method with many if statements in Python,sparse,4,cc_knowledge_book.pdf:p293_c1,"262 Chapter 15: JUnit Internals We replaced the +1s in computeCommonSuffix with a -1 in charFromEnd, where it makes perfect sense, and two <= operators in suffixOverlapsPrefix, where they also make perfect sense. This allowed us to change the name of suffixIndex to suffixLength, greatly enhanc- ing the readability of the code. There is a problem however. As I was eliminating the +1s, I noticed the following line in compactString: if (suffixLength > 0) Take a look at it in Listing 15-4. By rights, because suffixLength is now one less than it used to be, I should change the > operator to a >= operator. But that makes no sense. It makes sense now! This means that it didn’t use to make sense and was probably a bug. Well, not quite a bug. Upon further analysis we see that the if statement now prevents a zero length sufﬁx from being appended. Before we made the change, the if statement was nonfunctional because suffixIndex could never be less than one! This calls into question both if statements in compactString! It looks as though they could both be eliminated. So let’ s comment them out and run the tests. They passed! So let’ s restructure compactString to eliminate the extraneous if statements and make the function much simpler [G9]. private String compactString(String source) { return computeCommonPrefix() + DELTA_START + source.substring(prefixLength, source.length() - suffixLength) + DELTA_END + computeCommonSuffix(); } This is much better! Now we see that the compactString function is simply composing the fragments together. We can probably make this even clearer. Indeed, there are lots of little if (suffixLength > 0) result = result + computeCommonSuffix(); return result; } ... private String computeCommonSuffix() { int end = Math.min(expected.length() - suffixLength + contextLength, expected.length() );",0.062122464,
q001,long method with many if statements in Python,sparse,5,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p924_c1,"Chapter 18. Context Managers and else Blocks A NOTE FOR EARLY RELEASE READERS With Early Release ebooks, you get books in their earliest form—the author’s raw and unedited content as they write—so you can take advantage of these technologies long before the official release of these titles. This will be the 18th chapter of the final book. Please note that the GitHub repo will be made active later on. If you have comments about how we might improve the content and/or examples in this book, or if you notice missing material within this chapter, please reach out to the author at fluentpython2e@ramalho.org. Context managers may end up being almost as important as the subroutine itself. We’ve only scratched the surface with them. […] Basic has a with statement, there are with statements in lots of languages. But they don’t do the same thing, they all do something very shallow, they save you from repeated dotted [attribute] lookups, they don’t do setup and tear down. Just because it’s the same name don’t think it’s the same thing. The with statement is a very big deal. —Raymond Hettinger, Eloquent Python evangelist In this chapter, we will discuss control flow features that are not so common in other languages, and for this reason tend to be overlooked or underused in Python. They are: The with statement and context managers. The else clause in for, while, and try statements. 1",0.060010657,
q002,refactoring guidelines for high cyclomatic complexity,sparse,1,Fluent.Python.2nd.Edition.(z-lib.org).pdf:p1104_c1,"BE CAREFUL WHEN TESTING CONCURRENTCLIENTS When testing concurrent HTTP clients on public Web servers, you may generate many requests per second, and that’s how denial-of-service (DoS) attacks are made. Carefully throttle your clients when hitting public servers. For high-concurrency experiments, set up a local HTTP server for testing. The ThreadingHTTPServer that comes with Python is OK for testing, and it can serve files in the current directory if you run it with: python -m http.server Append the -h option to the command above for more options. The most visible feature of the flags2 examples is that they have an animated, text-mode progress bar implemented with the TQDM package. I posted a 108s video on YouTube to show the progress bar and contrast the speed of the three flags2 scripts. In the video, I start with the sequential download, but I interrupt it after 32s because it was going to take more than 5 minutes to hit on 676 URLs and get 194 flags; I then run the threaded and asyncio scripts three times each, and every time they complete the job in 6s or less (i.e., more than 60 times faster). Figure 21-1 shows two screenshots: during and after running flags2_threadpool.py. 5",0.047115535,
q002,refactoring guidelines for high cyclomatic complexity,sparse,2,cc_knowledge_book.pdf:p169_c1,"138 Chapter 10: Classes But what if SuperDashboard contained only the methods shown in Listing 10-2? Five methods isn’t too much, is it? In this case it is because despite its small number of methods, SuperDashboard has too many responsibilities. The name of a class should describe what responsibilities it fulﬁlls. In fact, naming is probably the ﬁrst way of helping determine class size. If we cannot derive a concise name for a class, then it’ s likely too large. The more ambiguous the class name, the more likely it has too many responsibilities. For example, class names including weasel words like Processor or Manager or Super often hint at unfortunate aggregation of responsibilities. We should also be able to write a brief description of the class in about 25 words, without using the words “if,” “and,” “or,” or “but.” How would we describe the SuperDashboard? “The SuperDashboard provides access to the component that last held the focus, and it also allows us to track the version and build numbers.” The ﬁrst “and” is a hint that SuperDashboard has too many responsibilities. The Single Responsibility Principle The Single Responsibility Principle (SRP)2 states that a class or module should have one, and only one, reason to change. This principle gives us both a deﬁnition of responsibility, and a guidelines for class size. Classes should have one responsibility—one reason to change. public void setAçowDragging(boolean allowDragging) public boolean allowDragging() public boolean isCustomizing() public void setTitle(String title) public IdeMenuBar getIdeMenuBar() public void showHelper(MetaObject metaObject, String propertyName) // ... many non-public methods follow ... } Listing 10-2 Small Enough? public class SuperDashboard extends JFrame implements MetaDataUser public Component getLastFocusedComponent() public void setLastFocused(Component lastFocused) public int getMajorVersionNumber() public int getMinorVersionNumber() public int getBuildNumber() } 2. Y ou can read much more about this principle in [PPP].",0.046428785,
q002,refactoring guidelines for high cyclomatic complexity,sparse,3,cc_knowledge_book.pdf:p203_c2,"coupling. Our designs improve even more. Remarkably, following a simple and obvious rule that says we need to have tests and run them continuously impacts our system’ s adherence to the primary OO goals of low coupling and high cohesion. Writing tests leads to better designs. Simple Design Rules 2–4: Refactoring Once we have tests, we are empowered to keep our code and classes clean. We do this by incrementally refactoring the code. For each few lines of code we add, we pause and reﬂect on the new design. Did we just degrade it? If so, we clean it up and run our tests to demon- strate that we haven’t broken anything. The fact that we have these tests eliminates the fear that cleaning up the code will break it! During this refactoring step, we can apply anything from the entire body of knowledge about good software design. We can increase cohesion, decrease coupling, separate con- cerns, modularize system concerns, shrink our functions and classes, choose better names, and so on. This is also where we apply the ﬁnal three rules of simple design: Eliminate duplication, ensure expressiveness, and minimize the number of classes and methods.",0.04344216,
q002,refactoring guidelines for high cyclomatic complexity,sparse,4,cc_knowledge_book.pdf:p316_c1,"285 17 Smells and Heuristics In his wonderful book Refactoring,1 Martin Fowler identiﬁed many different “Code Smells.” The list that follows includes many of Martin’ s smells and adds many more of my own. It also includes other pearls and heuristics that I use to practice my trade. 1. [Refactoring].",0.042944077,
q002,refactoring guidelines for high cyclomatic complexity,sparse,5,cc_knowledge_book.pdf:p184_c1,"153 11 Systems by Dr. Kevin Dean Wampler “Complexity kills. It sucks the life out of developers, it makes products difﬁcult to plan, build, and test. ” —Ray Ozzie, CTO, Microsoft Corporation",0.03442965,
